,ID,Tempo entre chegadas,Hora de chegada,Tempo na fila,Tempo descarga,Hora de chegada à estação,Tempo na fila para abastecimento,Tempo abastecimento,Hora saída,Tempo no Porto
0,1,14.0,14,0.0,10.0,24,0.0,10.0,34,20.0
1,2,10.0,24,0.0,11.0,35,0.0,12.0,47,23.0
2,3,12.0,36,0.0,11.0,47,0.0,9.0,56,20.0
3,4,13.0,49,0.0,12.0,61,0.0,7.0,68,19.0
4,5,10.0,59,2.0,10.0,71,0.0,8.0,79,20.0
5,6,11.0,70,1.0,9.0,80,0.0,9.0,89,19.0
6,7,14.0,84,0.0,12.0,96,0.0,10.0,106,22.0
7,8,12.0,96,0.0,12.0,108,0.0,10.0,118,22.0
8,9,15.0,111,0.0,10.0,121,0.0,9.0,130,19.0
9,10,10.0,121,0.0,12.0,133,0.0,9.0,142,21.0
10,11,9.0,130,3.0,11.0,144,0.0,9.0,153,23.0
11,12,7.0,137,7.0,10.0,154,0.0,11.0,165,28.0
12,13,12.0,149,5.0,14.0,168,0.0,9.0,177,28.0
13,14,11.0,160,8.0,9.0,177,0.0,9.0,186,26.0
14,15,12.0,172,5.0,13.0,190,0.0,9.0,199,27.0
15,16,10.0,182,8.0,16.0,206,0.0,8.0,214,32.0
16,17,9.0,191,15.0,13.0,219,0.0,9.0,228,37.0
17,18,12.0,203,16.0,10.0,229,0.0,9.0,238,35.0
18,19,13.0,216,13.0,12.0,241,0.0,9.0,250,34.0
19,20,13.0,229,12.0,12.0,253,0.0,9.0,262,33.0
20,21,10.0,239,14.0,12.0,265,0.0,10.0,275,36.0
21,22,16.0,255,10.0,9.0,274,1.0,8.0,283,28.0
22,23,13.0,268,6.0,10.0,284,0.0,7.0,291,23.0
23,24,14.0,282,2.0,14.0,298,0.0,10.0,308,26.0
24,25,12.0,294,4.0,9.0,307,1.0,9.0,317,23.0
25,,11.76,,5.24,11.32,,0.08,9.12,,25.76
