,ID,Tempo entre chegadas,Hora de chegada,Tempo na fila,Tempo descarga,Hora de chegada à estação,Tempo na fila para abastecimento,Tempo abastecimento,Hora saída,Tempo no Porto
0,1,14.0,14,0.0,10.0,24,0.0,9.0,33,19.0
1,2,10.0,24,0.0,12.0,36,0.0,9.0,45,21.0
2,3,12.0,36,0.0,12.0,48,0.0,9.0,57,21.0
3,4,18.0,54,0.0,12.0,66,0.0,9.0,75,21.0
4,5,10.0,64,0.0,9.0,73,2.0,8.0,83,19.0
5,6,11.0,75,0.0,9.0,84,0.0,9.0,93,18.0
6,7,14.0,89,0.0,12.0,101,0.0,9.0,110,21.0
7,8,12.0,101,0.0,12.0,113,0.0,10.0,123,22.0
8,9,15.0,116,0.0,10.0,126,0.0,9.0,135,19.0
9,10,10.0,126,0.0,10.0,136,0.0,9.0,145,19.0
10,11,9.0,135,0.0,11.0,146,0.0,9.0,155,20.0
11,12,7.0,142,0.0,11.0,153,2.0,11.0,166,24.0
12,13,12.0,154,0.0,14.0,168,0.0,8.0,176,22.0
13,14,11.0,165,0.0,12.0,177,0.0,11.0,188,23.0
14,15,12.0,177,0.0,10.0,187,1.0,12.0,200,23.0
15,16,10.0,187,0.0,11.0,198,2.0,8.0,208,21.0
16,17,9.0,196,0.0,12.0,208,0.0,9.0,217,21.0
17,18,12.0,208,0.0,11.0,219,0.0,9.0,228,20.0
18,19,15.0,223,0.0,10.0,233,0.0,9.0,242,19.0
19,20,10.0,233,0.0,14.0,247,0.0,9.0,256,23.0
20,21,13.0,246,0.0,11.0,257,0.0,10.0,267,21.0
21,22,13.0,259,0.0,9.0,268,0.0,10.0,278,19.0
22,23,15.0,274,0.0,9.0,283,0.0,11.0,294,20.0
23,24,9.0,283,0.0,9.0,292,2.0,9.0,303,20.0
24,25,12.0,295,0.0,9.0,304,0.0,9.0,313,18.0
25,,11.8,,0.0,10.84,,0.36,9.36,,20.56
