,ID,Tempo entre chegadas,Hora de chegada,Tempo na fila,Tempo descarga,Hora saída,Tempo no Porto
0,1,14.0,14,0.0,10.0,24,10.0
1,2,10.0,24,0.0,12.0,36,12.0
2,3,12.0,36,0.0,16.0,52,16.0
3,4,11.0,47,5.0,11.0,63,16.0
4,5,13.0,60,3.0,10.0,73,13.0
5,6,11.0,71,2.0,11.0,84,13.0
6,7,14.0,85,0.0,10.0,95,10.0
7,8,7.0,92,3.0,9.0,104,12.0
8,9,14.0,106,0.0,11.0,117,11.0
9,10,9.0,115,2.0,12.0,129,14.0
10,11,12.0,127,2.0,12.0,141,14.0
11,12,15.0,142,0.0,12.0,154,12.0
12,13,13.0,155,0.0,10.0,165,10.0
13,14,10.0,165,0.0,10.0,175,10.0
14,15,9.0,174,1.0,9.0,184,10.0
15,16,13.0,187,0.0,11.0,198,11.0
16,17,11.0,198,0.0,11.0,209,11.0
17,18,12.0,210,0.0,11.0,221,11.0
18,19,10.0,220,1.0,14.0,235,15.0
19,20,16.0,236,0.0,12.0,248,12.0
20,21,12.0,248,0.0,10.0,258,10.0
21,22,8.0,256,2.0,13.0,271,15.0
22,23,11.0,267,4.0,11.0,282,15.0
23,24,9.0,276,6.0,11.0,293,17.0
24,25,18.0,294,0.0,9.0,303,9.0
25,26,13.0,307,0.0,11.0,318,11.0
26,27,15.0,322,0.0,10.0,332,10.0
27,28,12.0,334,0.0,10.0,344,10.0
28,29,10.0,344,0.0,14.0,358,14.0
29,30,13.0,357,1.0,12.0,370,13.0
30,31,12.0,369,1.0,12.0,382,13.0
31,32,13.0,382,0.0,13.0,395,13.0
32,33,13.0,395,0.0,12.0,407,12.0
33,34,7.0,402,5.0,9.0,416,14.0
34,35,9.0,411,5.0,9.0,425,14.0
35,36,12.0,423,2.0,12.0,437,14.0
36,37,16.0,439,0.0,9.0,448,9.0
37,38,14.0,453,0.0,11.0,464,11.0
38,39,13.0,466,0.0,9.0,475,9.0
39,40,8.0,474,1.0,10.0,485,11.0
40,41,14.0,488,0.0,11.0,499,11.0
41,42,14.0,502,0.0,14.0,516,14.0
42,43,11.0,513,3.0,10.0,526,13.0
43,44,15.0,528,0.0,10.0,538,10.0
44,45,7.0,535,3.0,12.0,550,15.0
45,46,11.0,546,4.0,10.0,560,14.0
46,47,18.0,564,0.0,11.0,575,11.0
47,48,14.0,578,0.0,9.0,587,9.0
48,49,14.0,592,0.0,10.0,602,10.0
49,50,11.0,603,0.0,11.0,614,11.0
50,51,10.0,613,1.0,9.0,623,10.0
51,52,13.0,626,0.0,10.0,636,10.0
52,53,8.0,634,2.0,13.0,649,15.0
53,54,13.0,647,2.0,13.0,662,15.0
54,55,12.0,659,3.0,10.0,672,13.0
55,56,11.0,670,2.0,9.0,681,11.0
56,57,10.0,680,1.0,10.0,691,11.0
57,58,15.0,695,0.0,11.0,706,11.0
58,59,12.0,707,0.0,9.0,716,9.0
59,60,12.0,719,0.0,14.0,733,14.0
60,61,18.0,737,0.0,10.0,747,10.0
61,62,9.0,746,1.0,14.0,761,15.0
62,63,12.0,758,3.0,10.0,771,13.0
63,64,18.0,776,0.0,13.0,789,13.0
64,65,12.0,788,1.0,12.0,801,13.0
65,66,11.0,799,2.0,11.0,812,13.0
66,67,8.0,807,5.0,16.0,828,21.0
67,68,16.0,823,5.0,11.0,839,16.0
68,69,7.0,830,9.0,11.0,850,20.0
69,70,9.0,839,11.0,10.0,860,21.0
70,71,11.0,850,10.0,11.0,871,21.0
71,72,7.0,857,14.0,11.0,882,25.0
72,73,17.0,874,8.0,12.0,894,20.0
73,74,14.0,888,6.0,12.0,906,18.0
74,75,7.0,895,11.0,9.0,915,20.0
75,76,15.0,910,5.0,10.0,925,15.0
76,77,15.0,925,0.0,12.0,937,12.0
77,78,10.0,935,2.0,12.0,949,14.0
78,79,8.0,943,6.0,12.0,961,18.0
79,80,16.0,959,2.0,11.0,972,13.0
80,81,11.0,970,2.0,11.0,983,13.0
81,82,14.0,984,0.0,11.0,995,11.0
82,83,7.0,991,4.0,10.0,1005,14.0
83,84,15.0,1006,0.0,12.0,1018,12.0
84,85,17.0,1023,0.0,12.0,1035,12.0
85,86,12.0,1035,0.0,13.0,1048,13.0
86,87,7.0,1042,6.0,14.0,1062,20.0
87,88,15.0,1057,5.0,9.0,1071,14.0
88,89,8.0,1065,6.0,10.0,1081,16.0
89,90,8.0,1073,8.0,11.0,1092,19.0
90,91,11.0,1084,8.0,13.0,1105,21.0
91,92,8.0,1092,13.0,13.0,1118,26.0
92,93,9.0,1101,17.0,14.0,1132,31.0
93,94,11.0,1112,20.0,10.0,1142,30.0
94,95,5.0,1117,25.0,10.0,1152,35.0
95,96,12.0,1129,23.0,12.0,1164,35.0
96,97,13.0,1142,22.0,9.0,1173,31.0
97,98,14.0,1156,17.0,12.0,1185,29.0
98,99,6.0,1162,23.0,9.0,1194,32.0
99,100,13.0,1175,19.0,9.0,1203,28.0
100,101,12.0,1187,16.0,16.0,1219,32.0
101,102,12.0,1199,20.0,11.0,1230,31.0
102,103,13.0,1212,18.0,12.0,1242,30.0
103,104,14.0,1226,16.0,9.0,1251,25.0
104,105,8.0,1234,17.0,11.0,1262,28.0
105,106,13.0,1247,15.0,13.0,1275,28.0
106,107,15.0,1262,13.0,11.0,1286,24.0
107,108,11.0,1273,13.0,10.0,1296,23.0
108,109,11.0,1284,12.0,9.0,1305,21.0
109,110,9.0,1293,12.0,10.0,1315,22.0
110,111,15.0,1308,7.0,10.0,1325,17.0
111,112,18.0,1326,0.0,14.0,1340,14.0
112,113,17.0,1343,0.0,11.0,1354,11.0
113,114,7.0,1350,4.0,10.0,1364,14.0
114,115,12.0,1362,2.0,10.0,1374,12.0
115,116,7.0,1369,5.0,10.0,1384,15.0
116,117,7.0,1376,8.0,14.0,1398,22.0
117,118,15.0,1391,7.0,16.0,1414,23.0
118,119,7.0,1398,16.0,12.0,1426,28.0
119,120,10.0,1408,18.0,16.0,1442,34.0
120,121,12.0,1420,22.0,9.0,1451,31.0
121,122,5.0,1425,26.0,15.0,1466,41.0
122,123,12.0,1437,29.0,13.0,1479,42.0
123,124,11.0,1448,31.0,10.0,1489,41.0
124,125,11.0,1459,30.0,12.0,1501,42.0
125,126,10.0,1469,32.0,9.0,1510,41.0
126,127,15.0,1484,26.0,12.0,1522,38.0
127,128,11.0,1495,27.0,13.0,1535,40.0
128,129,11.0,1506,29.0,11.0,1546,40.0
129,130,18.0,1524,22.0,16.0,1562,38.0
130,131,6.0,1530,32.0,10.0,1572,42.0
131,132,10.0,1540,32.0,10.0,1582,42.0
132,133,7.0,1547,35.0,12.0,1594,47.0
133,134,9.0,1556,38.0,10.0,1604,48.0
134,135,11.0,1567,37.0,11.0,1615,48.0
135,136,8.0,1575,40.0,11.0,1626,51.0
136,137,10.0,1585,41.0,12.0,1638,53.0
137,138,10.0,1595,43.0,9.0,1647,52.0
138,139,5.0,1600,47.0,9.0,1656,56.0
139,140,11.0,1611,45.0,9.0,1665,54.0
140,141,8.0,1619,46.0,15.0,1680,61.0
141,142,10.0,1629,51.0,12.0,1692,63.0
142,143,6.0,1635,57.0,15.0,1707,72.0
143,144,16.0,1651,56.0,10.0,1717,66.0
144,145,14.0,1665,52.0,14.0,1731,66.0
145,146,14.0,1679,52.0,13.0,1744,65.0
146,147,16.0,1695,49.0,13.0,1757,62.0
147,148,11.0,1706,51.0,9.0,1766,60.0
148,149,16.0,1722,44.0,12.0,1778,56.0
149,150,8.0,1730,48.0,10.0,1788,58.0
150,151,17.0,1747,41.0,10.0,1798,51.0
151,152,8.0,1755,43.0,11.0,1809,54.0
152,153,13.0,1768,41.0,11.0,1820,52.0
153,154,5.0,1773,47.0,10.0,1830,57.0
154,155,7.0,1780,50.0,11.0,1841,61.0
155,156,16.0,1796,45.0,11.0,1852,56.0
156,157,12.0,1808,44.0,14.0,1866,58.0
157,158,9.0,1817,49.0,11.0,1877,60.0
158,159,13.0,1830,47.0,14.0,1891,61.0
159,160,11.0,1841,50.0,9.0,1900,59.0
160,161,17.0,1858,42.0,10.0,1910,52.0
161,162,12.0,1870,40.0,9.0,1919,49.0
162,163,5.0,1875,44.0,14.0,1933,58.0
163,164,12.0,1887,46.0,14.0,1947,60.0
164,165,9.0,1896,51.0,13.0,1960,64.0
165,166,11.0,1907,53.0,10.0,1970,63.0
166,167,16.0,1923,47.0,10.0,1980,57.0
167,168,13.0,1936,44.0,10.0,1990,54.0
168,169,13.0,1949,41.0,14.0,2004,55.0
169,170,10.0,1959,45.0,12.0,2016,57.0
170,171,10.0,1969,47.0,10.0,2026,57.0
171,172,14.0,1983,43.0,10.0,2036,53.0
172,173,17.0,2000,36.0,13.0,2049,49.0
173,174,10.0,2010,39.0,15.0,2064,54.0
174,175,10.0,2020,44.0,10.0,2074,54.0
175,176,10.0,2030,44.0,10.0,2084,54.0
176,177,16.0,2046,38.0,9.0,2093,47.0
177,178,14.0,2060,33.0,10.0,2103,43.0
178,179,11.0,2071,32.0,9.0,2112,41.0
179,180,8.0,2079,33.0,10.0,2122,43.0
180,181,8.0,2087,35.0,10.0,2132,45.0
181,182,13.0,2100,32.0,11.0,2143,43.0
182,183,12.0,2112,31.0,11.0,2154,42.0
183,184,13.0,2125,29.0,14.0,2168,43.0
184,185,14.0,2139,29.0,10.0,2178,39.0
185,186,10.0,2149,29.0,13.0,2191,42.0
186,187,14.0,2163,28.0,13.0,2204,41.0
187,188,13.0,2176,28.0,13.0,2217,41.0
188,189,14.0,2190,27.0,10.0,2227,37.0
189,190,9.0,2199,28.0,12.0,2239,40.0
190,191,11.0,2210,29.0,12.0,2251,41.0
